[2025-12-20 23:00:01] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0x96e | src=10.216.16.8:34142 -> dst=10.47.111.60:80 | http=PATCH /api/v1/orders 500 ua="nmap NSE" | ocp=cluster:ocp-lab-01 ns:test pod:api-6d7f8c9b7f-2kq9x node:infra-1 route:api.example.lab | neden="Hata oranı ve gecikmeler normal." conf=0.18
[2025-12-20 23:00:02] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0xf92 | src=10.172.52.24:56565 -> dst=10.194.49.92:8080 | http=PATCH /api/v1/payments 200 ua="nmap NSE" | ocp=cluster:ocp-lab-01 ns:payments pod:payment-7b86c9c7b8-q2v7m node:worker-1 route:web.example.lab | neden="Hata oranı ve gecikmeler normal." conf=0.29
[2025-12-20 23:00:03] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0xb3b | src=10.148.40.219:19241 -> dst=10.119.51.98:8443 | http=PUT /api/v1/users 400 ua="python-requests/2.31.0" | ocp=cluster:ocp-lab-01 ns:dev pod:api-6d7f8c9b7f-2kq9x node:infra-1 route:web.example.lab | neden="Health-check başarılı." conf=0.33
[2025-12-20 23:00:09] [SALDIRI] TEHDIT: TLS Downgrade / Fuzzing | Aksiyon: Bloklandı | Stage: Initial Access | Rule: TLS-ANOM-2001 | ID: 0x7fd | src=10.112.166.216:3127 -> dst=10.28.117.211:8080 | http=DELETE /api/v1/payments 200 ua="curl/8.5.0" | ocp=cluster:ocp-lab-01 ns:test pod:auth-6c5d7f6cbb-9p3a2 node:worker-2 route:pay.example.lab | neden="Kısa süreli tekrarlayan handshake hataları fuzzing davranışına benziyor." conf=0.8
[2025-12-20 23:00:15] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0x6c2 | src=10.219.204.93:33367 -> dst=10.112.70.131:80 | http=GET /login 201 ua="nmap NSE" | ocp=cluster:ocp-lab-01 ns:test pod:gateway-7f8c9d7b6b-x4n1k node:infra-1 route:pay.example.lab | neden="Health-check başarılı." conf=0.38
[2025-12-20 23:00:19] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0x4c7 | src=10.136.174.29:30759 -> dst=10.150.222.41:80 | http=PUT /actuator/health 201 ua="nikto/2.5.0" | ocp=cluster:ocp-lab-01 ns:monitoring pod:api-6d7f8c9b7f-2kq9x node:infra-1 route:api.example.lab | neden="Health-check başarılı." conf=0.4
[2025-12-20 23:00:24] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0x7c7 | src=10.165.250.5:55528 -> dst=10.57.185.225:8080 | http=POST / 204 ua="nikto/2.5.0" | ocp=cluster:ocp-lab-01 ns:test pod:gateway-7f8c9d7b6b-x4n1k node:infra-1 route:api.example.lab | neden="İstekler beklenen davranış aralığında." conf=0.13
[2025-12-20 23:00:29] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0x569 | src=10.108.102.183:43614 -> dst=10.159.204.172:8080 | http=DELETE /actuator/health 403 ua="Mozilla/5.0" | ocp=cluster:ocp-lab-01 ns:monitoring pod:web-5c7b9d4cdd-hm8z1 node:worker-2 route:auth.example.lab | neden="İstekler beklenen davranış aralığında." conf=0.18
[2025-12-20 23:00:31] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0x792 | src=10.16.169.19:32836 -> dst=10.121.142.172:443 | http=PATCH /api/v1/users 429 ua="nikto/2.5.0" | ocp=cluster:ocp-lab-01 ns:dev pod:api-6d7f8c9b7f-2kq9x node:worker-1 route:api.example.lab | neden="Hata oranı ve gecikmeler normal." conf=0.19
[2025-12-20 23:00:33] [SALDIRI] TEHDIT: SQL Injection Denemesi | Aksiyon: Bloklandı | Stage: Initial Access | Rule: WAF-SQLI-3003 | ID: 0x400 | src=10.50.31.104:13580 -> dst=10.173.55.64:443 | http=PATCH /wp-login.php 201 ua="sqlmap/1.7.12" | ocp=cluster:ocp-lab-01 ns:auth pod:auth-6c5d7f6cbb-9p3a2 node:worker-2 route:api.example.lab | neden="Parametrelerde SQLi imzaları (OR 1=1, UNION SELECT) tespit edildi." conf=0.82
[2025-12-20 23:00:34] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0xc90 | src=10.85.208.125:27306 -> dst=10.246.109.222:80 | http=POST /.env 200 ua="sqlmap/1.7.12" | ocp=cluster:ocp-lab-01 ns:monitoring pod:api-6d7f8c9b7f-2kq9x node:worker-1 route:web.example.lab | neden="Hata oranı ve gecikmeler normal." conf=0.42
[2025-12-20 23:00:38] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0xace | src=10.31.160.15:61276 -> dst=10.25.244.129:443 | http=GET /actuator/health 200 ua="curl/8.5.0" | ocp=cluster:ocp-lab-01 ns:test pod:payment-7b86c9c7b8-q2v7m node:worker-1 route:api.example.lab | neden="Health-check başarılı." conf=0.31
[2025-12-20 23:00:42] [SALDIRI] KRITIK: RBAC Yetki Yükseltme Şüphesi | Aksiyon: Engellendi | Stage: Privilege Escalation | Rule: K8S-RBAC-4005 | ID: 0xffa | src=151.161.133.53:26962 -> dst=10.160.122.68:443 | http=PUT /wp-login.php 400 ua="Mozilla/5.0" | ocp=cluster:ocp-lab-01 ns:monitoring pod:gateway-7f8c9d7b6b-x4n1k node:worker-1 route:api.example.lab | neden="RoleBinding/ClusterRoleBinding değişikliği denemesi görüldü." conf=0.86
[2025-12-20 23:00:43] [SALDIRI] TEHDIT: TLS Downgrade / Fuzzing | Aksiyon: Bloklandı | Stage: Initial Access | Rule: TLS-ANOM-2001 | ID: 0x9ae | src=42.224.154.157:44499 -> dst=10.4.153.239:80 | http=POST /api/v1/payments 200 ua="Mozilla/5.0" | ocp=cluster:ocp-lab-01 ns:test pod:payment-7b86c9c7b8-q2v7m node:worker-1 route:web.example.lab | neden="TLS el sıkışmasında anormal sürüm/şifre takımı denemeleri tespit edildi." conf=0.82
[2025-12-20 23:00:44] [NORMAL] NORMAL: Servis Sağlık Kontrolü | Aksiyon: OK | Stage: Benign | Rule: OK-0001 | ID: 0x1cb | src=10.141.22.1:65236 -> dst=10.170.66.164:8080 | http=POST /wp-login.php 404 ua="nmap NSE" | ocp=cluster:ocp-lab-01 ns:payments pod:api-6d7f8c9b7f-2kq9x node:worker-1 route:auth.example.lab | neden="Pod metrikleri stabil." conf=0.3
[2025-12-20 23:00:46] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0xbfe | src=10.65.21.79:24473 -> dst=10.186.20.231:443 | http=POST /login 400 ua="nikto/2.5.0" | ocp=cluster:ocp-lab-01 ns:monitoring pod:gateway-7f8c9d7b6b-x4n1k node:worker-1 route:auth.example.lab | neden="Hata oranı ve gecikmeler normal." conf=0.44
[2025-12-20 23:00:46] [NORMAL] NORMAL: Trafik Akışı Temiz | Aksiyon: OK | Stage: Benign | Rule: OK-0000 | ID: 0xcba | src=10.210.127.69:58182 -> dst=10.81.55.98:80 | http=DELETE /api/v1/orders 204 ua="sqlmap/1.7.12" | ocp=cluster:ocp-lab-01 ns:dev pod:web-5c7b9d4cdd-hm8z1 node:infra-1 route:pay.example.lab | neden="Hata oranı ve gecikmeler normal." conf=0.21
[2025-12-20 23:00:48] [SALDIRI] TEHDIT: TLS Downgrade / Fuzzing | Aksiyon: Bloklandı | Stage: Initial Access | Rule: TLS-ANOM-2001 | ID: 0x588 | src=132.204.169.241:64620 -> dst=10.14.59.225:8080 | http=POST /actuator/env 301 ua="Mozilla/5.0" | ocp=cluster:ocp-lab-01 ns:payments pod:payment-7b86c9c7b8-q2v7m node:worker-1 route:pay.example.lab | neden="TLS el sıkışmasında anormal sürüm/şifre takımı denemeleri tespit edildi." conf=0.89
