LogID,Tarih,ServerTime,LocalTime,StationID,UserID,Tuketim_kWh,UygulananTarife,OlmasiGerekenTarife,Durum
1001,2025-11-10,08:10:00,08:10:00,ST-001,U-101,10.5,GUNDUZ,GUNDUZ,Normal
1002,2025-11-10,09:15:00,09:15:00,ST-002,U-105,5.2,GUNDUZ,GUNDUZ,Normal
1003,2025-11-10,10:30:00,10:30:00,ST-005,U-110,12.0,GUNDUZ,GUNDUZ,Normal
1004,2025-11-10,11:45:00,11:45:00,ST-012,U-120,8.5,GUNDUZ,GUNDUZ,Normal
1005,2025-11-10,12:20:00,12:20:00,ST-015,U-135,20.1,GUNDUZ,GUNDUZ,Normal
1006,2025-11-10,13:00:00,13:00:00,ST-022,U-140,7.5,GUNDUZ,GUNDUZ,Normal
1007,2025-11-10,14:10:00,14:10:05,ST-025,U-144,15.0,GUNDUZ,GUNDUZ,Normal
1008,2025-11-10,15:30:00,15:30:00,ST-030,U-150,9.2,GUNDUZ,GUNDUZ,Normal
1009,2025-11-10,16:45:00,02:45:00,ST-045,U-223,30.5,GECE,GUNDUZ,ANOMALI_ZAMAN_KAYMASI
1010,2025-11-10,17:00:00,17:00:00,ST-033,U-160,11.0,GUNDUZ,GUNDUZ,Normal
1011,2025-11-10,18:15:00,18:15:00,ST-036,U-170,14.5,GUNDUZ,GUNDUZ,Normal
1012,2025-11-10,19:20:00,19:20:00,ST-040,U-180,6.0,GUNDUZ,GUNDUZ,Normal
1013,2025-11-10,20:00:00,20:00:00,ST-041,U-190,13.2,GUNDUZ,GUNDUZ,Normal
1014,2025-11-10,21:50:00,21:50:00,ST-044,U-210,18.0,GUNDUZ,GUNDUZ,Normal
1015,2025-11-10,22:31:12,03:30:12,ST-045,U-223,22.4,GECE,GUNDUZ,ANOMALI_ZAMAN_KAYMASI
1016,2025-11-10,22:45:00,22:45:00,ST-048,U-230,5.0,GECE,GECE,Normal
1017,2025-11-10,23:15:00,23:15:00,ST-050,U-240,4.5,GECE,GECE,Normal
1018,2025-11-11,00:30:00,00:30:00,ST-055,U-250,10.0,GECE,GECE,Normal
1019,2025-11-11,01:10:00,01:10:00,ST-060,U-260,12.0,GECE,GECE,Normal
1020,2025-11-11,14:00:00,02:00:00,ST-099,U-999,55.0,GECE,GUNDUZ,ANOMALI_ZAMAN_KAYMASI
