LogID,Tarih,ServerTime,LocalTime,StationID,UserID,Tuketim_kWh,UygulananTarife,OlmasiGerekenTarife,Durum,label
1001,2025-11-10,08:25:00,20:25:00,ST-032,U-214,51.0,GECE,GUNDUZ,ANOMALI_ZAMAN_KAYMASI,1
1002,2025-11-10,08:18:00,08:18:00,ST-070,U-144,16.2,GUNDUZ,GUNDUZ,Normal,0
1003,2025-11-10,09:09:00,09:09:00,ST-028,U-219,4.5,GUNDUZ,GUNDUZ,Normal,0
1004,2025-11-10,09:24:00,09:24:00,ST-092,U-379,14.1,GUNDUZ,GUNDUZ,Normal,0
1005,2025-11-10,09:30:00,09:30:00,ST-001,U-181,14.6,GUNDUZ,GUNDUZ,Normal,0
1006,2025-11-10,10:42:00,10:42:00,ST-028,U-272,9.0,GUNDUZ,GUNDUZ,Normal,0
1007,2025-11-10,08:56:00,20:56:00,ST-045,U-235,28.4,GECE,GUNDUZ,ANOMALI_ZAMAN_KAYMASI,1
1008,2025-11-10,12:00:00,00:00:00,ST-016,U-293,41.1,GECE,GUNDUZ,ANOMALI_ZAMAN_KAYMASI,1
1009,2025-11-10,09:03:00,09:03:00,ST-080,U-285,18.9,GUNDUZ,GUNDUZ,Normal,0
1010,2025-11-10,11:50:00,11:50:00,ST-085,U-216,5.3,GUNDUZ,GUNDUZ,Normal,0
1011,2025-11-10,13:19:00,13:19:00,ST-030,U-151,5.4,GUNDUZ,GUNDUZ,Normal,0
1012,2025-11-10,11:24:00,11:24:00,ST-047,U-183,15.4,GUNDUZ,GUNDUZ,Normal,0
1013,2025-11-10,11:28:00,11:28:00,ST-090,U-136,16.1,GUNDUZ,GUNDUZ,Normal,0
1014,2025-11-10,13:36:00,13:36:00,ST-032,U-183,13.6,GUNDUZ,GUNDUZ,Normal,0
1015,2025-11-10,12:45:00,12:45:00,ST-082,U-385,21.8,GUNDUZ,GUNDUZ,Normal,0
1016,2025-11-10,11:12:00,11:12:00,ST-008,U-217,19.2,GUNDUZ,GUNDUZ,Normal,0
1017,2025-11-10,09:42:00,09:42:00,ST-009,U-208,11.2,GUNDUZ,GUNDUZ,Normal,0
1018,2025-11-10,14:54:00,14:54:00,ST-084,U-355,9.7,GUNDUZ,GUNDUZ,Normal,0
