LogID,Tarih,ServerTime,LocalTime,StationID,UserID,Tuketim_kWh,UygulananTarife,OlmasiGerekenTarife,Durum
2001,2025-11-10,18:30:00,18:30:00,ST-045,U-223,10.0,GUNDUZ,GUNDUZ,Normal
2002,2025-11-10,19:00:00,19:00:00,ST-045,U-223,15.0,GUNDUZ,GUNDUZ,YANLIS_PLAKA
2003,2025-11-10,19:30:00,19:30:00,ST-045,U-223,7.0,GUNDUZ,GUNDUZ,YANLIS_ISIM
2004,2025-11-10,19:31:00,19:31:00,ST-045,U-223,3.0,GUNDUZ,GUNDUZ,KISA_ARALIKLA_TEKRAR_PLAKA
2005,2025-11-10,20:10:00,20:10:00,ST-001,U-224,8.0,GUNDUZ,GUNDUZ,Normal
2006,2025-11-10,20:40:00,20:40:00,ST-001,U-224,12.0,GUNDUZ,GUNDUZ,YANLIS_ISIM_VE_PLAKA
2007,2025-11-10,21:15:00,21:15:00,ST-002,U-224,0.0,GUNDUZ,GUNDUZ,MANTIKSIZ_GUÇ_DEGERI
2008,2025-11-10,21:50:00,21:50:00,ST-002,U-224,25.0,GUNDUZ,GUNDUZ,Normal
2009,2025-11-10,22:10:00,22:10:00,ST-050,U-240,5.0,GECE,GECE,Normal
2010,2025-11-10,22:12:00,22:12:00,ST-050,U-240,6.0,GECE,GECE,KISA_ARALIKLA_TEKRAR_PLAKA
2011,2025-11-10,22:45:00,22:45:00,ST-060,U-260,20.0,GECE,GECE,YANLIS_PLAKA
2012,2025-11-10,23:05:00,23:05:00,ST-060,U-260,18.0,GECE,GECE,YANLIS_ISIM
2013,2025-11-11,00:15:00,00:15:00,ST-070,U-270,50.0,GECE,GECE,Normal
2014,2025-11-11,00:16:30,00:16:30,ST-070,U-270,2.0,GECE,GECE,KISA_ARALIKLA_TEKRAR_PLAKA
2015,2025-11-11,01:00:00,01:00:00,ST-080,U-280,100.0,GECE,GECE,MANTIKSIZ_GUÇ_DEGERI
2016,2025-11-11,08:05:00,08:05:00,ST-001,U-223,9.0,GUNDUZ,GUNDUZ,Normal
2017,2025-11-11,08:40:00,08:40:00,ST-001,U-223,11.0,GUNDUZ,GUNDUZ,YANLIS_PLAKA
2018,2025-11-11,09:10:00,09:10:00,ST-002,U-223,13.0,GUNDUZ,GUNDUZ,YANLIS_ISIM_VE_PLAKA
2019,2025-11-11,09:45:00,09:45:00,ST-002,U-223,7.5,GUNDUZ,GUNDUZ,Normal
2020,2025-11-11,10:00:30,10:00:30,ST-002,U-223,1.0,GUNDUZ,GUNDUZ,KISA_ARALIKLA_TEKRAR_PLAKA
